Source,Target,Type
lp_1.jpg,fetish,Undirected
lp_1.jpg,desire,Undirected
lp_2.jpg,identity,Undirected
lp_2.jpg,gender diversity,Undirected
lp_3.jpg,transformation,Undirected
lp_3.jpg,gender diversity,Undirected
lp_4.jpg,violence,Undirected
lp_4.jpg,fetish,Undirected
lp_5.jpg,gender diversity,Undirected
lp_5.jpg,identity,Undirected
gj_1.jpg,black woman,Undirected
gj_1.jpg,resistance,Undirected
gj_1.jpg,fetish,Undirected
gj_2.jpg,technology,Undirected
gj_3.jpg,happiness,Undirected
gj_3.jpg,black woman,Undirected
gj_3.jpg,resistance,Undirected
gj_4.jpg,resistance,Undirected
gj_4.jpg,protest,Undirected
gj_4.jpg,fetish,Undirected
gj_5.jpg,identity,Undirected
gj_5.jpg,mask,Undirected
jg_1.jpg,migration,Undirected
jg_1.jpg,resistance,Undirected
jg_2.jpg,pleasure,Undirected
jg_2.jpg,entertainment,Undirected
jg_3.jpg,resistance,Undirected
jg_3.jpg,protest,Undirected
jg_4.jpg,migration,Undirected
jg_5.jpg,protest,Undirected
jg_5.jpg,resistance,Undirected
az_1.jpg,desire,Undirected
az_2.jpg,writing,Undirected
az_3.jpg,survival,Undirected
az_3.jpg,mask,Undirected
az_3.jpg,violence,Undirected
az_4.jpg,writing,Undirected
az_5.jpg,fetish,Undirected
az_5.jpg,desire,Undirected
em_1.jpg,pleasure,Undirected
em_1.jpg,entertainment,Undirected
em_2.jpg,resistance,Undirected
em_2.jpg,identity,Undirected
em_3.jpg,resistance,Undirected
em_3.jpg,protest,Undirected
em_4.jpg,protest,Undirected
em_4.jpg,resistance,Undirected
em_5.jpg,domesticity,Undirected
lp_1.jpg,Mid-18th century,Undirected
lp_2.jpg,1975,Undirected
lp_3.jpg,1980,Undirected
lp_4.jpg,1963,Undirected
lp_5.jpg,1977,Undirected
gj_1.jpg,2025,Undirected
gj_2.jpg,2025,Undirected
gj_3.jpg,2025,Undirected
gj_4.jpg,2025,Undirected
gj_5.jpg,2026,Undirected
az_1.jpg,1532–1536,Undirected
az_3.jpg,2023,Undirected
az_4.jpg,1446,Undirected
az_5.jpg,2026,Undirected
em_1.jpg,2019,Undirected
em_2.jpg,2025,Undirected
em_3.jpg,2024,Undirected
em_4.jpg,2024,Undirected
em_5.jpg,2025,Undirected
lp_1.jpg,Italy,Undirected
lp_2.jpg,Italy,Undirected
lp_3.jpg,Italy,Undirected
lp_4.jpg,Italy,Undirected
lp_5.jpg,Italy,Undirected
gj_1.jpg,South Africa,Undirected
gj_2.jpg,Italy,Undirected
gj_3.jpg,USA,Undirected
gj_4.jpg,Germany,Undirected
gj_5.jpg,Nigeria,Undirected
jg_1.jpg,USA,Undirected
jg_2.jpg,Mexico,Undirected
jg_3.jpg,Mexico,Undirected
jg_4.jpg,Mexico,Undirected
jg_5.jpg,Mexico,Undirected
az_1.jpg,Unrecorded,Undirected
az_2.jpg,USA,Undirected
az_3.jpg,India,Undirected
az_4.jpg,Korea,Undirected
az_5.jpg,USA,Undirected
em_1.jpg,USA,Undirected
em_2.jpg,Mexico,Undirected
em_3.jpg,USA,Undirected
em_4.jpg,USA,Undirected
em_5.jpg,China,Undirected
lp_1.jpg,painting,Undirected
lp_2.jpg,documentary photograph,Undirected
lp_3.jpg,sculpture,Undirected
lp_4.jpg,mixmedia,Undirected
lp_5.jpg,documentary photograph,Undirected
gj_1.jpg,digital art,Undirected
gj_2.jpg,digital art,Undirected
gj_3.jpg,digital art,Undirected
gj_4.jpg,digital art,Undirected
gj_5.jpg,digital art,Undirected
jg_1.jpg,documentary photograph,Undirected
jg_2.jpg,documentary photograph,Undirected
jg_3.jpg,documentary photograph,Undirected
jg_4.jpg,documentary photograph,Undirected
jg_5.jpg,grafiti,Undirected
az_1.jpg,painting,Undirected
az_2.jpg,text,Undirected
az_3.jpg,documentary photograph,Undirected
az_4.jpg,text,Undirected
az_5.jpg,Installation,Undirected
em_1.jpg,documentary photograph,Undirected
em_2.jpg,grafiti,Undirected
em_3.jpg,poster,Undirected
em_4.jpg,etching,Undirected
em_5.jpg,documentary photograph,Undirected